row,curiosity,optimism,neutral,caring,desire,approval,confusion,excitement,admiration,love,joy,annoyance,disapproval,realization,surprise,fear,nervousness,anger,sadness,disappointment,gratitude,relief,remorse,amusement,grief,disgust,pride,embarrassment
21,0.006065583322197199,0.9184949398040771,0.03865336254239082,0.10663305222988129,0.1538490206003189,0.03206945210695267,0.0033663036301732063,0.004381238482892513,0.008525027893483639,0.21676349639892578,0.005814047530293465,0.00788712128996849,0.01385257113724947,0.01212317869067192,0.0030433773063123226,0.006047840230166912,0.001949114608578384,0.008364301174879074,0.009189276956021786,0.011996646411716938,0.0034981935750693083,0.00128889549523592,0.011519622057676315,0.006036167964339256,0.0016059804474934936,0.003268028609454632,0.001381262787617743,0.0011373368324711919
22,0.10818585008382797,0.003606201149523258,0.2538762092590332,0.009801904670894146,0.0032567575108259916,0.01119838748127222,0.037217315286397934,0.0017983801662921906,0.0012671201257035136,0.0016557027120143175,0.001525410800240934,0.06205657497048378,0.015990033745765686,0.010013844817876816,0.0035269830841571093,0.009636486880481243,0.025239063426852226,0.005440792068839073,0.34794679284095764,0.2322266697883606,0.00017194461543112993,0.0011862347600981593,0.007090893108397722,0.002297251718118787,0.00585532933473587,0.011280381120741367,0.00020422710804268718,0.009003100916743279
23,0.002503229770809412,0.0022320535499602556,0.10191696882247925,0.0007101304363459349,0.0016364270122721791,0.04266276955604553,0.0010006865486502647,0.08433450013399124,0.784004271030426,0.0028172065503895283,0.010056440718472004,0.006331879645586014,0.0023545061703771353,0.0048051150515675545,0.019372953101992607,0.002920621307566762,0.0004529267898760736,0.002276274375617504,0.0010729879140853882,0.00207411777228117,0.0019845229107886553,0.0009643762605264783,0.0001227689062943682,0.004630540031939745,0.0005042532575316727,0.0034848679788410664,0.006028374191373587,0.0006524952477775514
24,0.0006282386602833867,0.005282393656671047,0.9129447340965271,0.0015019585844129324,0.00439143180847168,0.04680652916431427,0.0008641181630082428,0.0038773224223405123,0.004052459262311459,0.0011109482729807496,0.0041194395162165165,0.005928016733378172,0.0025821824092417955,0.010990725830197334,0.0005137723055668175,0.0006031770608387887,0.0003240714140702039,0.0007440148037858307,0.0011018215445801616,0.0023048543371260166,0.0017072740010917187,0.0009898027637973428,0.00020619743736460805,0.0011339966440573335,0.00021121326426509768,0.0008823183015920222,0.0005985848838463426,0.0002569780044723302
25,0.006815777160227299,0.006701047066599131,0.059175118803977966,0.021894343197345734,0.0037194339092820883,0.017389371991157532,0.005010717082768679,0.0013882066123187542,0.0033875706139951944,0.00363617530092597,0.003109351499006152,0.008912907913327217,0.011911020614206791,0.012042779475450516,0.0007861942867748439,0.0014060235116630793,0.002314060227945447,0.004588406998664141,0.2252872884273529,0.01889358088374138,0.008937523700296879,0.0020509788300842047,0.7940893173217773,0.005466689355671406,0.005616751499474049,0.0029314961284399033,0.0006335464422591031,0.013374079950153828
26,0.0006282386602833867,0.005282393656671047,0.9129447340965271,0.0015019585844129324,0.00439143180847168,0.04680652916431427,0.0008641181630082428,0.0038773224223405123,0.004052459262311459,0.0011109482729807496,0.0041194395162165165,0.005928016733378172,0.0025821824092417955,0.010990725830197334,0.0005137723055668175,0.0006031770608387887,0.0003240714140702039,0.0007440148037858307,0.0011018215445801616,0.0023048543371260166,0.0017072740010917187,0.0009898027637973428,0.00020619743736460805,0.0011339966440573335,0.00021121326426509768,0.0008823183015920222,0.0005985848838463426,0.0002569780044723302
27,0.0034748604521155357,0.047326598316431046,0.6925973892211914,0.02448108233511448,0.004883437883108854,0.27791497111320496,0.029238825663924217,0.0005975881940685213,0.0028873574919998646,0.001869652420282364,0.0009202982764691114,0.005534492898732424,0.012221981771290302,0.05029766261577606,0.0004157130606472492,0.0012698698556050658,0.001038416288793087,0.0008198274299502373,0.001413780148141086,0.004048638977110386,0.0012639776105061173,0.0016410640673711896,0.0008578990818932652,0.0003378220717422664,0.00043468846706673503,0.0008237349102273583,0.0005298093892633915,0.0003035641275346279
28,0.10632801800966263,0.042495302855968475,0.44856584072113037,0.014325982891023159,0.003960518632084131,0.24331460893154144,0.1501448005437851,0.0016304486198350787,0.0028415462002158165,0.001370007055811584,0.0013632078189402819,0.010702291503548622,0.07754683494567871,0.045722056180238724,0.0021447152830660343,0.0024298063945025206,0.0023429037537425756,0.0010229205945506692,0.004185146652162075,0.012101976200938225,0.00041427602991461754,0.0018663982627913356,0.0010895151644945145,0.0006272936007007957,0.000610877585131675,0.0009545256616547704,0.00034097794559784234,0.000788460427429527
29,0.0016189203597605228,0.009841051883995533,0.5179499983787537,0.008211984299123287,0.0022595387417823076,0.21840177476406097,0.006429178174585104,0.012741690501570702,0.008290335536003113,0.0011668496299535036,0.1682773381471634,0.009918350726366043,0.03511366993188858,0.03947191312909126,0.0017153917578980327,0.00058324373094365,0.0014200472505763173,0.0008355340105481446,0.0016593505861237645,0.0044513181783258915,0.008680876344442368,0.04024394601583481,0.00042152064270339906,0.0020972236525267363,0.0007011990528553724,0.000570280069950968,0.006087704561650753,0.0009446893236599863
30,0.4848007261753082,0.026794908568263054,0.22471265494823456,0.0028946632519364357,0.007377113215625286,0.11669009178876877,0.35694876313209534,0.004643183667212725,0.0033676030579954386,0.008259875699877739,0.0021089911460876465,0.007866893894970417,0.011636536568403244,0.0184494461864233,0.0041141449473798275,0.0019774551037698984,0.0013333255192264915,0.0015469931531697512,0.001782643492333591,0.006331003271043301,0.0004575230705086142,0.0005618829745799303,0.0008535002125427127,0.0010019466280937195,0.00034269457682967186,0.0012316920328885317,0.00016712381329853088,0.0006903135217726231
