row,curiosity,neutral,confusion,approval,gratitude,annoyance,disapproval,desire,optimism,caring,disappointment,realization,admiration,anger,sadness,excitement,disgust,remorse,surprise,joy,relief,embarrassment,fear,nervousness,love,amusement,grief,pride
32,0.0005984189338050783,0.9082100987434387,0.0028497320599853992,0.016280699521303177,0.0005905106081627309,0.02595684491097927,0.03667648881673813,0.000735038542188704,0.0019618296064436436,0.0008812873857095838,0.013636988587677479,0.01714477315545082,0.000943464576266706,0.0028348362538963556,0.002759993076324463,0.0004397729062475264,0.0020927556324750185,0.0004256528045516461,0.000586872803978622,0.0008092248463071883,0.0003867673804052174,0.001051969127729535,0.0006827663746662438,0.0003087778459303081,0.0005731761339120567,0.0015161089831963181,0.00033137560239993036,0.00019767825142480433
33,0.0032396181486546993,0.9402545690536499,0.004313360899686813,0.030298778787255287,0.0004626249719876796,0.004972964525222778,0.0035181737039238214,0.0011889021843671799,0.002354815136641264,0.0008326449897140265,0.0022701360285282135,0.013325298205018044,0.002275185426697135,0.0008422730606980622,0.0012090810341760516,0.0024729324504733086,0.0013386198552325368,0.0002127274638041854,0.0010550071019679308,0.0016188417794182897,0.0003711626341100782,0.00041706737829372287,0.0010307441698387265,0.0004294548707548529,0.0011893088230863214,0.002352979965507984,0.00022873598209116608,0.0002276566083310172
34,0.0439547523856163,0.8073813915252686,0.017757395282387733,0.1613522469997406,0.0004624439752660692,0.003617451526224613,0.0038248340133577585,0.0021058516576886177,0.0042361789382994175,0.0018521987367421389,0.00128818373195827,0.009909337386488914,0.0029210378415882587,0.0006231222068890929,0.0008441109675914049,0.002987280720844865,0.0006882160669192672,0.00025099527556449175,0.001135971979238093,0.0016281704884022474,0.0004622280248440802,0.00024514755932614207,0.0005097103421576321,0.00034402176970615983,0.0022968286648392677,0.0011950082844123244,0.00018616486340761185,0.0001777841243892908
35,0.0032396181486546993,0.9402545690536499,0.004313360899686813,0.030298778787255287,0.0004626249719876796,0.004972964525222778,0.0035181737039238214,0.0011889021843671799,0.002354815136641264,0.0008326449897140265,0.0022701360285282135,0.013325298205018044,0.002275185426697135,0.0008422730606980622,0.0012090810341760516,0.0024729324504733086,0.0013386198552325368,0.0002127274638041854,0.0010550071019679308,0.0016188417794182897,0.0003711626341100782,0.00041706737829372287,0.0010307441698387265,0.0004294548707548529,0.0011893088230863214,0.002352979965507984,0.00022873598209116608,0.0002276566083310172
36,0.0023422297090291977,0.019098756834864616,0.008531171828508377,0.06231705844402313,0.5851373076438904,0.015576794743537903,0.033037420362234116,0.0007408387609757483,0.006988325621932745,0.0008532103383913636,0.007445676252245903,0.012439526617527008,0.7898557186126709,0.0019394921837374568,0.0007383004995062947,0.0061492896638810635,0.004441956058144569,0.0005364376702345908,0.005239480175077915,0.0036448179744184017,0.001983755035325885,0.0011020629899576306,0.0005283751524984837,0.00018328004807699472,0.0018861773423850536,0.0032374029979109764,0.00043285504216328263,0.003662587609142065
37,0.0014343522489070892,0.46343934535980225,0.0014580021379515529,0.04100143536925316,0.0005166013725101948,0.009867609478533268,0.003655399661511183,0.0015118122100830078,0.0031405750196427107,0.0013085134560242295,0.0015228202100843191,0.007685177959501743,0.005352539476007223,0.001729320385493338,0.0008833231404423714,0.001393964164890349,0.000977880321443081,0.0003971989208366722,0.00034883266198448837,0.015604237094521523,0.000489679048769176,0.0005613241228275001,0.00022730416094418615,0.00016259898256976157,0.005036570131778717,0.5374611020088196,0.0001842535857576877,0.00025716994423419237
38,0.0008188070496544242,0.8558910489082336,0.0014894719934090972,0.1394381821155548,0.0005985341849736869,0.003999852575361729,0.0023620405700057745,0.0009091646643355489,0.0027789156883955,0.0007207418093457818,0.0018778882222250104,0.02025270275771618,0.0040996624156832695,0.0006036428967490792,0.0011783179361373186,0.0020682928152382374,0.001241348683834076,0.00018576820730231702,0.0007259912672452629,0.0016849137609824538,0.0006742759724147618,0.00034490908728912473,0.0008086328743956983,0.00032867229310795665,0.0014001602539792657,0.0013034460134804249,0.00018902262672781944,0.00040881033055484295
39,0.6691731214523315,0.10188703238964081,0.5753963589668274,0.01942719891667366,0.0004865034425165504,0.025343304499983788,0.024447984993457794,0.002075902884826064,0.0027755270712077618,0.001531450659967959,0.010989673435688019,0.009179982356727123,0.030322398990392685,0.0045897988602519035,0.0024271795991808176,0.018452944234013557,0.0027936140540987253,0.0008404179243370891,0.02814961038529873,0.007236558012664318,0.0006409464403986931,0.0029524993151426315,0.0016198393423110247,0.00255286181345582,0.0048723043873906136,0.006707925349473953,0.0005737650790251791,0.0003090131503995508
40,0.08417016267776489,0.3661016523838043,0.329650342464447,0.04422876611351967,0.0005434880731627345,0.04400552064180374,0.3864401578903198,0.0014093045610934496,0.007114180363714695,0.0015645608073100448,0.016687551513314247,0.02548627182841301,0.001707916148006916,0.00339735159650445,0.001673500519245863,0.0013456918532028794,0.002259049564599991,0.0005177257698960602,0.00599224679172039,0.0009187887189909816,0.0004719097341876477,0.0015780223766341805,0.0009877138072624803,0.000893397955223918,0.0007163258851505816,0.0017175341490656137,0.00029459429788403213,0.0001469506387365982
41,0.0035967796575278044,0.11242745071649551,0.006179132964462042,0.010283829644322395,0.0009162068017758429,0.14323531091213226,0.05813278257846832,0.0019044282380491495,0.006125680636614561,0.0021424884907901287,0.050497133284807205,0.014837858267128468,0.003271164372563362,0.012446440756320953,0.01420522853732109,0.0008498349343426526,0.008419436402618885,0.0018209777772426605,0.0008239763556048274,0.012331755831837654,0.0010040532797574997,0.006086432375013828,0.0006785382865928113,0.0011331717250868678,0.0009583868086338043,0.7816812992095947,0.0007052251021377742,0.0003983448550570756
42,0.06947694718837738,0.6396651864051819,0.1680566370487213,0.07117477804422379,0.0007197977392934263,0.021385008469223976,0.05664481595158577,0.0011289723915979266,0.012590242549777031,0.0033948421478271484,0.007363402750343084,0.01932128146290779,0.0021973189432173967,0.0019399150041863322,0.0010786759667098522,0.0005087119061499834,0.0012526571517810225,0.00044763917685486376,0.0018351287581026554,0.00033924373565241694,0.00035200794809497893,0.0005846359999850392,0.0006503908662125468,0.000436615024227649,0.00054666813230142,0.00038656004471704364,0.00023821010836400092,0.0001561724056955427
