row,disapproval,confusion,annoyance,curiosity,neutral,disappointment,anger,approval,surprise,realization,disgust,embarrassment,optimism,sadness,excitement,caring,fear,nervousness,amusement,admiration,joy,desire,gratitude,remorse,love,grief,relief,pride
11,0.12323033064603806,0.23948560655117035,0.38508981466293335,0.24219408631324768,0.19078543782234192,0.021966563537716866,0.036651141941547394,0.010369795374572277,0.010040754452347755,0.014007656835019588,0.022126883268356323,0.007096441462635994,0.00877072662115097,0.001533729606308043,0.002128161722794175,0.002024563495069742,0.0020702602341771126,0.0020816309843212366,0.06024852767586708,0.001743254135362804,0.002260503126308322,0.0020083694253116846,0.00049784587463364,0.0004634377546608448,0.0003703574766404927,0.000455415720352903,0.0004504587850533426,0.0002676726144272834
12,0.003776832250878215,0.0015765130519866943,0.0048573506064713,0.0018597823800519109,0.7027988433837891,0.0007820182363502681,0.00101478211581707,0.39365217089653015,0.0003426143666729331,0.007040982600301504,0.0005034147179685533,0.00012029225763399154,0.011479483917355537,0.00037181921652518213,0.0027108623180538416,0.0056011006236076355,0.0002443800331093371,0.00016865131328813732,0.001511204056441784,0.009001454338431358,0.004297822713851929,0.0019290606724098325,0.0012545394711196423,0.000158696886501275,0.0027719817589968443,0.00013258146645966917,0.001087611773982644,0.0005257126176729798
13,0.015775814652442932,0.0009053042158484459,0.10371460020542145,0.000618732301518321,0.38775256276130676,0.007914588786661625,0.006611141841858625,0.5265726447105408,0.0007543424144387245,0.04692836105823517,0.004693809896707535,0.0009624256636016071,0.009715061634778976,0.0007579781231470406,0.0012575836153700948,0.0018064668402075768,0.0003943316114600748,0.00021432503126561642,0.002341022016480565,0.031724631786346436,0.0019964827224612236,0.0015685218386352062,0.0006625111564062536,0.00023534215870313346,0.0014142266009002924,0.00024592760019004345,0.001572178560309112,0.0018797445809468627
14,0.046625882387161255,0.414570152759552,0.1095147356390953,0.5458038449287415,0.1455942690372467,0.017432820051908493,0.010890034958720207,0.016999520361423492,0.019064882770180702,0.01206907443702221,0.10307198017835617,0.016169855371117592,0.003377723041921854,0.0019976820331066847,0.0030585553031414747,0.0012674755416810513,0.004230239428579807,0.0021742635872215033,0.008064855821430683,0.0052033886313438416,0.0011097397655248642,0.001796708325855434,0.0009467103518545628,0.0008537913672626019,0.001657552202232182,0.0005824826657772064,0.0004098953795619309,0.00018759857630357146
15,0.005977541208267212,0.00607477268204093,0.00765602570027113,0.0015592410927638412,0.9598668813705444,0.0032187108881771564,0.001329924794845283,0.02375704236328602,0.0006261867238208652,0.011960546486079693,0.002129897940903902,0.000674064620397985,0.003233587834984064,0.0014133050572127104,0.0008477414376102388,0.001427828217856586,0.001720406231470406,0.0004304813628550619,0.0014095044462010264,0.00278041185811162,0.0011269962415099144,0.0008133864030241966,0.0006258728681132197,0.00033531207009218633,0.0007346523343585432,0.00030492100631818175,0.0004196122754365206,0.0002896299120038748
16,0.0031681559048593044,0.0018723265966400504,0.00403600325807929,0.0010164938867092133,0.1124722883105278,0.003155639162287116,0.0016056394670158625,0.24869495630264282,0.027419563382864,0.13877911865711212,0.0008669329108670354,0.0018861558055505157,0.009961185045540333,0.004032654222100973,0.11112401634454727,0.007547576446086168,0.0021898336708545685,0.0027458432596176863,0.004233528859913349,0.13732802867889404,0.29645511507987976,0.0022283790167421103,0.010339456610381603,0.000831849523819983,0.025716891512274742,0.0027440274134278297,0.04248840734362602,0.03849530965089798
17,0.019880779087543488,0.04910709336400032,0.03684259578585625,0.0224453117698431,0.8971936106681824,0.0066970051266252995,0.004117368254810572,0.016972463577985764,0.0031445352360606194,0.018777895718812943,0.003675993299111724,0.0015431937063112855,0.0035181420389562845,0.0013664269354194403,0.0007016292656771839,0.0007153581827878952,0.0016177186043933034,0.0005018370575271547,0.0015535842394456267,0.0007171513861976564,0.00048120482824742794,0.0008628873038105667,0.0002496020752005279,0.00024699914501979947,0.00038968949229456484,0.00032690571970306337,0.00020225725893396884,0.00012266534031368792
18,0.0014405567198991776,0.057729315012693405,0.0065649147145450115,0.41648340225219727,0.6508926153182983,0.001701006549410522,0.0015083662001416087,0.013181734830141068,0.012654667720198631,0.005910735577344894,0.0006863326416350901,0.00043234328040853143,0.0035008143167942762,0.0006939406739547849,0.009460652247071266,0.0009496363345533609,0.0006816929089836776,0.00042087279143743217,0.0019499292830005288,0.0032222378067672253,0.0019352574599906802,0.002036907710134983,0.00048493710346519947,0.0002313392178621143,0.0014550297055393457,0.00022624057601206005,0.00025360475410707295,0.00010552411549724638
19,0.05992449074983597,0.004287287592887878,0.6545663475990295,0.001811318565160036,0.24643589556217194,0.02777998335659504,0.16214865446090698,0.014938711188733578,0.0009291254682466388,0.012519457377493382,0.04087104648351669,0.008771274238824844,0.0021677331533282995,0.0022587443236261606,0.000749463215470314,0.001316156587563455,0.0009238431812264025,0.0006032756646163762,0.0030264577362686396,0.0013580064987763762,0.001011276850476861,0.001375944004394114,0.000814787345007062,0.0005287315580062568,0.0003676550695672631,0.0003328567836433649,0.00041821759077720344,0.0005605269689112902
20,0.018316159024834633,0.016096869483590126,0.2976229786872864,0.02818560227751732,0.09027126431465149,0.00744167435914278,0.761907696723938,0.005256476812064648,0.005282947793602943,0.003969965036958456,0.01497744582593441,0.0030136341229081154,0.0023735780268907547,0.0029940383974462748,0.0016856574220582843,0.002143602119758725,0.001319098169915378,0.000618139049038291,0.00493214325979352,0.002260109642520547,0.002216794528067112,0.001020443974994123,0.0010578299406915903,0.0005581622244790196,0.0018272758461534977,0.0006384078878909349,0.00023524816788267344,0.0003469304647296667
21,0.007343820761889219,0.0019251902122050524,0.031258825212717056,0.0005193806136958301,0.7350610494613647,0.005823627579957247,0.0039402698166668415,0.05803637206554413,0.0024927929043769836,0.17325538396835327,0.002632378600537777,0.002042106818407774,0.0024758868385106325,0.002094494178891182,0.001207696390338242,0.0008576154359616339,0.002333610085770488,0.0006566690863110125,0.0018442211439833045,0.002206583274528384,0.0010549880098551512,0.0005588550702668726,0.0005005825078114867,0.00036841118708252907,0.0005471999174915254,0.00045482549467124045,0.0007446694653481245,0.0007411123951897025
22,0.03509001061320305,0.03945838660001755,0.4942249059677124,0.06160500645637512,0.12215298414230347,0.010631891898810863,0.4791542589664459,0.0058765290305018425,0.003713990096002817,0.0037806162144988775,0.01335992943495512,0.0030471656937152147,0.003075978020206094,0.0018874434754252434,0.001167071401141584,0.0024582527112215757,0.0008612595847807825,0.0006680570659227669,0.004922767169773579,0.0019046248635277152,0.0011927321320399642,0.0010322252055630088,0.0009745715651661158,0.0004191361367702484,0.0006071071256883442,0.00040243746479973197,0.0001894442830234766,0.00025894312420859933
23,0.0019465950317680836,0.0022961185313761234,0.003259001299738884,0.00427777785807848,0.04438164457678795,0.0017876550555229187,0.0014067828888073564,0.057788651436567307,0.001376147847622633,0.0038596931844949722,0.0007045486709102988,0.00027577640139497817,0.0031644655391573906,0.0006897206767462194,0.01745426468551159,0.0014931984478607774,0.0002172846725443378,0.00013848960225004703,0.005297033581882715,0.6351683735847473,0.05775505304336548,0.0029516881331801414,0.0013020724290981889,0.00023183027224149555,0.4476003646850586,0.00023750685795675963,0.0005868576699867845,0.0018772188341245055
24,0.0030417051166296005,0.0018966501811519265,0.017089897766709328,0.0011535914381965995,0.8894078135490417,0.009480804204940796,0.0018531467067077756,0.006867005955427885,0.020841386169195175,0.05350890010595322,0.00205634580925107,0.003020972479134798,0.00742887519299984,0.0024872736539691687,0.006896351929754019,0.0009993232088163495,0.001588955637998879,0.0010875206207856536,0.003957637585699558,0.0014706782530993223,0.004871118813753128,0.002335941419005394,0.0036600271705538034,0.000914440315682441,0.0005385933327488601,0.0009424413437955081,0.0025235179346054792,0.0011556354584172368
25,0.02110227756202221,0.20190273225307465,0.04732409492135048,0.4383247494697571,0.4614918828010559,0.005825888831168413,0.007684879470616579,0.009001892991364002,0.0018882197327911854,0.0042291609570384026,0.00216537993401289,0.0015381661942228675,0.004775390028953552,0.0014630662044510245,0.000737428548745811,0.0033375429920852184,0.0008933234494179487,0.0005742038483731449,0.0014254465932026505,0.0010236689122393727,0.0005658654263243079,0.001895272289402783,0.0005043513374403119,0.0008085877634584904,0.000589279574342072,0.00030412638443522155,0.00015827963943593204,7.390999962808564e-05
26,0.3289196193218231,0.002628721995279193,0.27432337403297424,0.001038527232594788,0.45715242624282837,0.07970962673425674,0.0254586860537529,0.009009229019284248,0.0015011794166639447,0.011424444615840912,0.012189067900180817,0.0045224386267364025,0.002465388737618923,0.005224334541708231,0.0005155439721420407,0.0009983810596168041,0.0007347962236963212,0.00043814140371978283,0.0014479573583230376,0.001243259059265256,0.0006015595281496644,0.0011750488774850965,0.0013307235203683376,0.0010500121861696243,0.0004045481909997761,0.0005146585172042251,0.0004550694429781288,0.0003511197865009308
