row,neutral,approval,caring,curiosity,optimism,disapproval,confusion,annoyance,realization,disappointment,joy,desire,admiration,sadness,relief,nervousness,excitement,anger,love,fear,surprise,remorse,amusement,grief,pride,disgust,embarrassment,gratitude
11,0.8818538188934326,0.011091678403317928,0.00048064347356557846,0.00946152862161398,0.0022337555419653654,0.03331095725297928,0.03860912472009659,0.03462808206677437,0.013421080075204372,0.004981466103345156,0.0007079873466864228,0.0005291913985274732,0.0007907060207799077,0.000724092242307961,0.0001822233753046021,0.0002541845024097711,0.0008946539601311088,0.00428363960236311,0.0003597297763917595,0.0005429845186881721,0.0027040306013077497,0.00018620480841491371,0.002096989192068577,0.00020283623598515987,0.00011039000673918054,0.0020721987821161747,0.0009590417030267417,0.0003831809153780341
12,0.34505507349967957,0.0054039619863033295,0.002463109092786908,0.6487725377082825,0.002478356473147869,0.0039462558925151825,0.16423749923706055,0.008009360171854496,0.0028979601338505745,0.0020907213911414146,0.0007749987998977304,0.0015110083622857928,0.001499890466220677,0.001463990774936974,0.00013256010424811393,0.0004278554697521031,0.0013263942673802376,0.002216201974079013,0.0013055488234385848,0.0007767851348035038,0.0029971159528940916,0.0006147454841993749,0.0015307327266782522,0.0002848620933946222,4.129631270188838e-05,0.0008099268306978047,0.0005442387191578746,0.0010442048078402877
13,0.3237130343914032,0.006639405153691769,0.0017324077198281884,0.5927669405937195,0.002588289324194193,0.005925255361944437,0.3197932243347168,0.010211613029241562,0.0038778437301516533,0.002620846265926957,0.0006945361383259296,0.0009591797133907676,0.0018088537035509944,0.001335491775535047,0.00012583965144585818,0.00041983654955402017,0.001082833856344223,0.00240791286341846,0.0012733592884615064,0.000807100092060864,0.003749531228095293,0.0005571983056142926,0.0013212846824899316,0.0002632217656355351,4.9403515731683e-05,0.001006705453619361,0.0006533468258567154,0.0008952683419920504
14,0.5419158935546875,0.005174395628273487,0.0010301036527380347,0.4987644851207733,0.0016964119859039783,0.0023835203610360622,0.1326572597026825,0.008000136353075504,0.003351598745211959,0.0016005414072424173,0.0008706590160727501,0.0009178869659081101,0.0018163751810789108,0.000950290821492672,0.000126097904285416,0.0003513756091706455,0.002129689324647188,0.0024488402996212244,0.0011388681596145034,0.000697014038451016,0.007290091831237078,0.000320410676067695,0.0016990643925964832,0.00026525178691372275,5.4804539104225114e-05,0.0008158362470567226,0.000611538125667721,0.0006743459962308407
15,0.8898873925209045,0.01964631862938404,0.0013358410215005279,0.006762051023542881,0.003215298056602478,0.0021046053152531385,0.00522207235917449,0.014326509088277817,0.006186747923493385,0.0015272580785676837,0.002889201743528247,0.0029856211040169,0.0016780011355876923,0.0009430107893422246,0.00039958415436558425,0.00040563486982136965,0.005654803477227688,0.005461366847157478,0.0030858125537633896,0.0023639739956706762,0.0019804073963314295,0.00048557776608504355,0.01453089527785778,0.00034274454810656607,0.00042310880962759256,0.012384682893753052,0.0023945223074406385,0.0003965614305343479
16,0.00996484886854887,0.03944670408964157,0.005049818195402622,0.0032122782431542873,0.03634057193994522,0.0031835290137678385,0.004458459559828043,0.004248627927154303,0.010721362195909023,0.0015955126145854592,0.006654734723269939,0.01638869009912014,0.005246635526418686,0.002176592592149973,0.004344986751675606,0.0005187861388549209,0.004677023272961378,0.0009605739032849669,0.0031554847955703735,0.0008383698877878487,0.0016083400696516037,0.0025080814957618713,0.003648062702268362,0.0006097670993767679,0.000864066299982369,0.0013426673831418157,0.0006542017217725515,0.9853339195251465
17,0.1261061280965805,0.012402116321027279,0.003479923587292433,0.0012452340452000499,0.0022173263132572174,0.6807195544242859,0.003756177145987749,0.16411779820919037,0.007954763248562813,0.020321866497397423,0.0018558758310973644,0.0016470795962959528,0.0014484318671748042,0.0045461030676960945,0.0013008353998884559,0.0005364228854887187,0.0012993643758818507,0.04138481244444847,0.0008141362341120839,0.0012615342857316136,0.0016878116875886917,0.0020505893044173717,0.001566949998959899,0.000588628405239433,0.0005481531261466444,0.0100804278627038,0.0038384811487048864,0.021291207522153854
18,0.026574017480015755,0.07179660350084305,0.00833484809845686,0.4047080874443054,0.015372766181826591,0.007562464568763971,0.20588015019893646,0.005561086814850569,0.10667451471090317,0.0056475261226296425,0.023517068475484848,0.007097530644387007,0.02853255905210972,0.006044736597687006,0.0022556742187589407,0.006268057972192764,0.01681971736252308,0.0050925989635288715,0.6855981349945068,0.007738965097814798,0.06472907960414886,0.009275678545236588,0.008426079526543617,0.0019414684502407908,0.0008211862877942622,0.00244154199026525,0.004532831721007824,0.006987951695919037
19,0.2842528223991394,0.08326030522584915,0.04650348797440529,0.22332823276519775,0.06924577057361603,0.015505453571677208,0.12608642876148224,0.012318283319473267,0.02832549624145031,0.013194604776799679,0.001512372400611639,0.016385862603783607,0.0017570499330759048,0.0054215434938669205,0.001727450406178832,0.005557997152209282,0.002671202877536416,0.001421267632395029,0.0012991292169317603,0.0031329900957643986,0.0030952708330005407,0.004403905943036079,0.00043500622268766165,0.0008616084815002978,0.00036110778455622494,0.0010141998063772917,0.0012640540953725576,0.0006568396929651499
20,0.21121759712696075,0.008958255872130394,0.00332616432569921,0.441292941570282,0.0038215145468711853,0.03346256539225578,0.2677038013935089,0.08882308751344681,0.013203996233642101,0.14730387926101685,0.0014169375644996762,0.0028420474845916033,0.0013214414939284325,0.021099161356687546,0.0006267324788495898,0.006039075553417206,0.0019580835942178965,0.007371507119387388,0.0011993616353720427,0.002957833930850029,0.007465214002877474,0.0035799043253064156,0.001452420256100595,0.0015226282412186265,0.00013974170724395663,0.0030256062746047974,0.007585424929857254,0.0004272526712156832
21,0.2077503204345703,0.6096500754356384,0.0023251306265592575,0.002019873121753335,0.023315219208598137,0.0035178493708372116,0.0018065889598801732,0.003786736400797963,0.023864945396780968,0.0019405095372349024,0.005094969645142555,0.0039054204244166613,0.30792415142059326,0.0004978745710104704,0.001978288171812892,0.00022958485351409763,0.010066628456115723,0.0006431971560232341,0.0028635673224925995,0.0003374993393663317,0.0011440243106335402,0.00021006706811022013,0.0008757067262195051,0.00021706476400140673,0.003149935742840171,0.0005780402570962906,0.00017999950796365738,0.00332635547965765
22,0.09620245546102524,0.7112933993339539,0.03360362723469734,0.0007317738491110504,0.17070552706718445,0.0065812962129712105,0.0021550541277974844,0.005270930472761393,0.05141988396644592,0.003718253690749407,0.006502855569124222,0.0056947991251945496,0.05465458706021309,0.002806547563523054,0.012627665884792805,0.0012173581635579467,0.0020081468392163515,0.0007928416598588228,0.002578133950009942,0.0034453130792826414,0.0007124724797904491,0.0009970949031412601,0.0012368561001494527,0.0008757647010497749,0.00496953958645463,0.0011889265151694417,0.0006499248556792736,0.00809226743876934
23,0.08296240121126175,0.07725647836923599,0.006781350821256638,0.0007309779175557196,0.009510740637779236,0.01267287041991949,0.0011611239751800895,0.6182929277420044,0.051937028765678406,0.07161898165941238,0.004387201741337776,0.00622501689940691,0.0038123494014143944,0.010810418985784054,0.002908037044107914,0.0028123653028160334,0.0015727250138297677,0.09835045784711838,0.0012568897800520062,0.002811769023537636,0.001192925265058875,0.0022187139838933945,0.0021168412640690804,0.0011778038460761309,0.0026502928230911493,0.0684472918510437,0.017816126346588135,0.0011043640552088618
24,0.022887766361236572,0.04023366793990135,0.022827299311757088,0.002191683743149042,0.007477742154151201,0.15587125718593597,0.0073266723193228245,0.020693710073828697,0.015249301679432392,0.022751817479729652,0.0038536973297595978,0.0024229830596596003,0.00920461118221283,0.03755971044301987,0.0029936200007796288,0.0356118381023407,0.0031116639729589224,0.006571669597178698,0.005548696033656597,0.6435661315917969,0.0026682992465794086,0.0020714830607175827,0.0026307329535484314,0.0031541623175144196,0.0010511405998840928,0.03321176767349243,0.004753354471176863,0.003165527479723096
25,0.11713030189275742,0.01654280163347721,0.0010561826638877392,0.2922555208206177,0.003554332535713911,0.002008456503972411,0.019029123708605766,0.004753767047077417,0.013490919955074787,0.0022172420285642147,0.006601018365472555,0.002622549422085285,0.031822916120290756,0.0014224842889234424,0.0007197688682936132,0.001390481716953218,0.12337260693311691,0.0017316335579380393,0.0063233887776732445,0.0030854400247335434,0.4286302626132965,0.0003495963755995035,0.010036617517471313,0.0006647592526860535,0.0004749101644847542,0.0025976584292948246,0.0015164974611252546,0.0010079627390950918
26,0.8734955191612244,0.0416552908718586,0.0005932042258791625,0.0005581130390055478,0.0017976912204176188,0.0013578144134953618,0.0011121564311906695,0.013208245858550072,0.06578680127859116,0.0038882202934473753,0.003112934762611985,0.0008628589566797018,0.005024624522775412,0.0018879763083532453,0.0011154083767905831,0.000607192749157548,0.004601265769451857,0.0018878012197092175,0.0015592692652717233,0.001818666816689074,0.0032910502050071955,0.0004326828056946397,0.0038864624220877886,0.000491847051307559,0.0012609378900378942,0.003932497929781675,0.002333295764401555,0.0006960890023037791
27,0.024955108761787415,0.014218201860785484,0.005241309758275747,0.23054711520671844,0.008877570740878582,0.005650756414979696,0.060264553874731064,0.009276865981519222,0.00899339746683836,0.0020331735722720623,0.05758007988333702,0.0023350315168499947,0.016448207199573517,0.0030776895582675934,0.0013629794120788574,0.0018146676011383533,0.007349436637014151,0.0033338775392621756,0.006741626653820276,0.0012712161988019943,0.004521189257502556,0.001689306111074984,0.9497244358062744,0.000612371601164341,0.0003184288216289133,0.0022556944750249386,0.002088219625875354,0.0029309552628546953
28,0.717407763004303,0.032751183956861496,0.002339770784601569,0.3057728409767151,0.007247875444591045,0.002901243744418025,0.09395606070756912,0.006666641682386398,0.008044423535466194,0.0015289437724277377,0.000698126561474055,0.00245992885902524,0.002850949065759778,0.0007863104692660272,0.0002332030126126483,0.0003556128067430109,0.002000083914026618,0.0013231780612841249,0.0014995463425293565,0.0006466576596722007,0.002717806724831462,0.0002924908767454326,0.001026725978590548,0.00020526196749415249,0.0001031133288051933,0.0007772559765726328,0.00028974731685593724,0.0003815648378804326
