row,neutral,approval,realization,annoyance,confusion,disapproval,curiosity,optimism,caring,disappointment,anger,desire,amusement,admiration,sadness,excitement,joy,disgust,fear,surprise,love,gratitude,relief,nervousness,embarrassment,remorse,grief,pride
13,0.0630916878581047,0.03112742491066456,0.021656418219208717,0.02216784469783306,0.15748058259487152,0.028511472046375275,0.21947769820690155,0.014879212714731693,0.016241690143942833,0.05090638995170593,0.006250319071114063,0.00522252544760704,0.003935076296329498,0.002699329750612378,0.09259730577468872,0.0018439700361341238,0.001981303095817566,0.0036772892344743013,0.0028352958615869284,0.0028631030581891537,0.004926152992993593,0.0041074552573263645,0.0016462658531963825,0.005961492657661438,0.039876557886600494,0.6986808776855469,0.0037595853209495544,0.00048718260950408876
14,0.21772770583629608,0.006544951349496841,0.01804681494832039,0.5213537812232971,0.042279984802007675,0.03458414599299431,0.03608052432537079,0.0023648806381970644,0.0007794786361046135,0.032681092619895935,0.23614507913589478,0.0016224657883867621,0.001814969931729138,0.0016677663661539555,0.0019053546711802483,0.004058072809129953,0.0013744072057306767,0.037027474492788315,0.00446884473785758,0.10274702310562134,0.001025709672830999,0.0006217713817022741,0.000402460660552606,0.002050552284345031,0.01053895615041256,0.0002712538989726454,0.0007570129819214344,0.0004777058493345976
15,0.9441483616828918,0.04499994218349457,0.016798455268144608,0.003692665370181203,0.0020077272783964872,0.0024012932553887367,0.0012371217599138618,0.003648005425930023,0.0007143394323065877,0.0033831577748060226,0.0005774843157269061,0.0015890857903286815,0.0012708572903648019,0.007085104938596487,0.001482754247263074,0.0024647475220263004,0.0017507225275039673,0.0013867458328604698,0.0008304398506879807,0.0008981853607110679,0.0015132351545616984,0.0007572929607704282,0.0005493906792253256,0.0003385086019989103,0.00039892643690109253,0.00030705350218340755,0.0002744975790847093,0.0004808017984032631
16,0.4955279231071472,0.01631016470491886,0.08162593096494675,0.012691857293248177,0.004582891706377268,0.008587709628045559,0.006952882278710604,0.011545022018253803,0.0005646763020195067,0.015466558746993542,0.001542247598990798,0.0020708534866571426,0.0021893647499382496,0.004320924170315266,0.0018968379590660334,0.009200289845466614,0.0023814269807189703,0.0027237790636718273,0.0019806590862572193,0.4869401752948761,0.0015454317908734083,0.0007615159265697002,0.0013974958565086126,0.0007916499744169414,0.003377193119376898,0.0005871360190212727,0.00108004966750741,0.0006558594759553671
17,0.21078521013259888,0.007442692294716835,0.0033171928953379393,0.006535508204251528,0.22369368374347687,0.004148683976382017,0.7200701236724854,0.009184706956148148,0.007483771536499262,0.002524087904021144,0.0022303869482129812,0.0029374072328209877,0.0012530741514638066,0.0026519494131207466,0.00209518289193511,0.001801538048312068,0.0010769146028906107,0.0007683328585699201,0.0018852045759558678,0.003320195944979787,0.0022695281077176332,0.0015999935567378998,0.00023041047097649425,0.000995504087768495,0.0006031258963048458,0.0013443538919091225,0.000392057845601812,6.661963561782613e-05
18,0.3850161135196686,0.007645110599696636,0.007164742331951857,0.013012857176363468,0.5560135841369629,0.008885352872312069,0.39882707595825195,0.0033467679750174284,0.001249529654160142,0.0034749615006148815,0.002409769222140312,0.0011177564738318324,0.001280269818380475,0.0011829201830551028,0.0013438597088679671,0.0011653617257252336,0.0006636634934693575,0.0014412103919312358,0.0011763855582103133,0.00568806380033493,0.0012667567934840918,0.000624971347860992,0.00014448219735641032,0.0005618963041342795,0.0009279970545321703,0.000557498715352267,0.00026630947832018137,6.262384704314172e-05
19,0.766676127910614,0.05963175371289253,0.23487640917301178,0.004435295704752207,0.011150173842906952,0.002218143083155155,0.002185996389016509,0.006852802820503712,0.0006019928259775043,0.004772374406456947,0.00044058586354367435,0.001570739783346653,0.002595280995592475,0.0046839118003845215,0.001901643117889762,0.006177177187055349,0.006146222352981567,0.001558769727125764,0.0022297250106930733,0.007095239125192165,0.002109559252858162,0.001474364078603685,0.0021965194027870893,0.002015206031501293,0.0016184896230697632,0.0006032760138623416,0.0005310392007231712,0.0011984080774709582
20,0.4226195812225342,0.009869454428553581,0.004196858033537865,0.008175384253263474,0.17782795429229736,0.003220172366127372,0.6017400622367859,0.004939620848745108,0.0017117937095463276,0.0015971146058291197,0.0021616965532302856,0.002151549095287919,0.001781737431883812,0.0016594895860180259,0.0009063036413863301,0.0015710607403889298,0.0006649921415373683,0.001091781654395163,0.0010125889675691724,0.003882930614054203,0.0013453824212774634,0.0006440194556489587,0.0001391611440340057,0.00038474920438602567,0.0004937760531902313,0.00037797290133312345,0.0002177129063056782,5.0470040150685236e-05
21,0.24410852789878845,0.5262365937232971,0.03264784812927246,0.0025843889452517033,0.005256759002804756,0.00389176607131958,0.0023056131321936846,0.2446499913930893,0.024055063724517822,0.0020275183487683535,0.0004292590019758791,0.005643813405185938,0.0011847572168335319,0.038240835070610046,0.0009235259494744241,0.0019197919173166156,0.0026921378448605537,0.0008094488875940442,0.001252401852980256,0.0011191682424396276,0.0017282679909840226,0.00889799278229475,0.00419970229268074,0.0006478599389083683,0.0003472620155662298,0.0008087044698186219,0.0004127089923713356,0.001840930781327188
22,0.39255499839782715,0.05318361893296242,0.5449087023735046,0.12705828249454498,0.006002838723361492,0.016701163724064827,0.0008300652261823416,0.009262196719646454,0.001741466112434864,0.029910234734416008,0.009886038489639759,0.0016199820674955845,0.005308401770889759,0.001540357363410294,0.006600965745747089,0.0006869143689982593,0.0014485056744888425,0.01513864565640688,0.0031988960690796375,0.004839986562728882,0.0008496702066622674,0.0009100634488277137,0.0019978228956460953,0.0017080975230783224,0.022246306762099266,0.0027468930929899216,0.001151103526353836,0.0012805253500118852
23,0.8273138999938965,0.10197485238313675,0.0572960339486599,0.004512493032962084,0.0011640132870525122,0.0015782357659190893,0.0005524083389900625,0.003218562575057149,0.0006926393252797425,0.002924179658293724,0.0008170537767000496,0.0011577884433791041,0.0021989617962390184,0.010143766179680824,0.0023506025318056345,0.009119745343923569,0.011987556703388691,0.0016396037535741925,0.0027579462621361017,0.0028179099317640066,0.0019306008471176028,0.001799811259843409,0.0026016999036073685,0.0009598730248399079,0.0010425075888633728,0.00040951691335067153,0.0007077947375364602,0.0030008915346115828
24,0.05298662558197975,0.006762233097106218,0.038750242441892624,0.007700426038354635,0.009570909664034843,0.005396166350692511,0.021007154136896133,0.016406187787652016,0.0012355620274320245,0.014143355190753937,0.003052489599213004,0.0035345389042049646,0.004358076490461826,0.01000936422497034,0.0034446108620613813,0.023329725489020348,0.006868873257189989,0.002806240925565362,0.003313817549496889,0.8907347917556763,0.004695618990808725,0.003712085075676441,0.002031052717939019,0.0014128353213891387,0.003793977899476886,0.001404241076670587,0.0021710898727178574,0.0009644245146773756
