row,neutral,approval,disapproval,annoyance,realization,optimism,caring,anger,disappointment,desire,admiration,confusion,amusement,gratitude,disgust,joy,relief,curiosity,excitement,sadness,love,pride,embarrassment,fear,remorse,surprise,nervousness,grief
21,0.11645949631929398,0.04078274220228195,0.05936422944068909,0.035747282207012177,0.022666731849312782,0.006501395720988512,0.008499866351485252,0.029031166806817055,0.008985492400825024,0.002958767581731081,0.006007165182381868,0.004853438585996628,0.0021139776799827814,0.0009520102757960558,0.024640440940856934,0.003468726761639118,0.002066217130050063,0.001711633987724781,0.0035711098462343216,0.012227456085383892,0.001902279444038868,0.0015265181427821517,0.003788182744756341,0.7103487253189087,0.000594632641877979,0.004724845290184021,0.013203547336161137,0.002093026414513588
22,0.354949027299881,0.005918201059103012,0.002764340490102768,0.006426373030990362,0.0033013238571584225,0.0029541349504143,0.0019044262589886785,0.001942038768902421,0.0020137259270995855,0.0018221630016341805,0.0018698624335229397,0.1435437798500061,0.0019400286255404353,0.0008201375603675842,0.0008032378391362727,0.001014797599054873,0.0001521090161986649,0.6782727241516113,0.0023480006493628025,0.0013363187899813056,0.0018352536717429757,4.442894351086579e-05,0.0005599091527983546,0.0011442406103014946,0.0005199447623454034,0.005111936945468187,0.0005711970152333379,0.00028152685263194144
23,0.9634209275245667,0.020322397351264954,0.005173217970877886,0.007056040223687887,0.00841742567718029,0.001992141827940941,0.0009163014474324882,0.0019710417836904526,0.0035524163395166397,0.0010458191391080618,0.0027053426019847393,0.0024150237441062927,0.0014987669419497252,0.0006904720794409513,0.0021470217034220695,0.0013111182488501072,0.00033238047035411,0.0011558738769963384,0.0013994802720844746,0.0023079991806298494,0.0010323638562113047,0.0003019263967871666,0.0006106772925704718,0.0013841907493770123,0.0003515103308018297,0.0006720331148244441,0.0003302078112028539,0.0003712567558977753
24,0.18776720762252808,0.03637325391173363,0.13011665642261505,0.4628782868385315,0.030730819329619408,0.006867178715765476,0.003441376145929098,0.02112639509141445,0.39155131578445435,0.0035347973462194204,0.002931947587057948,0.0030550400260835886,0.0005451950710266829,0.0031013668049126863,0.008396266959607601,0.0009999916655942798,0.0016285558231174946,0.0021865779999643564,0.0007704440504312515,0.011643130332231522,0.0008059258107095957,0.0011159377172589302,0.009521334432065487,0.0007209235336631536,0.003455857979133725,0.0013021617196500301,0.0014098562533035874,0.001047508791089058
25,0.0054515572264790535,0.021143104881048203,0.003047787118703127,0.0030706177931278944,0.005967418197542429,0.005862564314156771,0.002450524130836129,0.0010396729921922088,0.0015350517351180315,0.0011378179769963026,0.5147442817687988,0.004261545836925507,0.0029285401105880737,0.9774594902992249,0.0012040891451761127,0.0046996790915727615,0.0016104485839605331,0.005283711478114128,0.004648126661777496,0.0019168549915775657,0.002388833789154887,0.0015370637411251664,0.0004466417885851115,0.0006108204834163189,0.0009030397632159293,0.0024333170149475336,0.00022318300034385175,0.0005935952649451792
26,0.013679700903594494,0.030709855258464813,0.014818812720477581,0.052188385277986526,0.016835471615195274,0.00797471683472395,0.0013625654391944408,0.004686911590397358,0.005426261108368635,0.0013482646318152547,0.022257588803768158,0.01833394542336464,0.006816412787884474,0.9769607186317444,0.005734535399824381,0.005361241288483143,0.004143816884607077,0.010589836165308952,0.006768840365111828,0.0007209636969491839,0.0006903227185830474,0.0011715663131326437,0.0022573359310626984,0.0006559329340234399,0.0006636808975599706,0.007657862268388271,0.0003750939213205129,0.0005335710011422634
27,0.4052809774875641,0.5154138803482056,0.025211310014128685,0.04520374536514282,0.06835411489009857,0.016366183757781982,0.004137568175792694,0.00680109579116106,0.011844589374959469,0.003978549502789974,0.023645468056201935,0.0012328980956226587,0.0006829701014794409,0.0007211465272121131,0.004928421229124069,0.0013203582493588328,0.0024027295876294374,0.00048513757064938545,0.0007010941626504064,0.004713620059192181,0.0009478326537646353,0.003596687689423561,0.0011962210992351174,0.001519428682513535,0.0004954721662215889,0.0005532303475774825,0.0005073064239695668,0.0008653388358652592
28,0.5976405739784241,0.1477784812450409,0.03739621490240097,0.016764460131525993,0.07401244342327118,0.015174968168139458,0.002242128597572446,0.001339232549071312,0.010464750230312347,0.0028260452672839165,0.001863173907622695,0.12540026009082794,0.0005103172734379768,0.0010950857540592551,0.001546450424939394,0.0014493584167212248,0.0011882873950526118,0.0027243904769420624,0.0005999234272167087,0.0011480816174298525,0.0007752059609629214,0.0005353711312636733,0.0007883816142566502,0.0010762638412415981,0.0005962236900813878,0.0009596189484000206,0.001049249665811658,0.0003006132028531283
29,0.9056330323219299,0.018682116642594337,0.021872466430068016,0.014054486528038979,0.030089814215898514,0.0024819946847856045,0.001154162921011448,0.00127984129358083,0.050154268741607666,0.0013673413777723908,0.002133913105353713,0.0027887471951544285,0.0011290836846455932,0.0009678472997620702,0.0017622588202357292,0.0014566545141860843,0.0012117166770622134,0.0008828843128867447,0.0006824696902185678,0.01323022786527872,0.0008637983119115233,0.0004659060505218804,0.0020076509099453688,0.0009616054012440145,0.0015395142836496234,0.0009511377429589629,0.0007781134336255491,0.0008852112805470824
30,0.7723369002342224,0.15134093165397644,0.05074261873960495,0.017813431099057198,0.07576612383127213,0.025954512879252434,0.0028072698041796684,0.0018332884646952152,0.007008054759353399,0.0017552567878738046,0.001654015388339758,0.0071553997695446014,0.0007400791510008276,0.0009223330416716635,0.0015265049878507853,0.00044680637074634433,0.0006761749973520637,0.00086576072499156,0.00031158511410467327,0.0015878501581028104,0.000523326569236815,0.0003626284596975893,0.0005429167067632079,0.0009405937744304538,0.0005811822484247386,0.0004987005377188325,0.00037081443588249385,0.00034647961729206145
31,0.0230364091694355,0.8597116470336914,0.01541839074343443,0.008575936779379845,0.017102135345339775,0.5406423211097717,0.019306352362036705,0.002170397900044918,0.00392603874206543,0.022732026875019073,0.055455587804317474,0.004775915760546923,0.005347928497940302,0.012911202386021614,0.002240670844912529,0.009665039367973804,0.004764174111187458,0.006104706786572933,0.010135720483958721,0.0019058462930843234,0.009185479953885078,0.00340017001144588,0.0007293447852134705,0.002413760405033827,0.001750276773236692,0.002346918685361743,0.0008435573545284569,0.0006986387306824327
